Loc,Frequency,Name,Comment,Tone Mode,Tone,ToneSQL,Duplex,offset,Mode,Power,Notes
118,147.1400,GALENA,,TONE,100.0,,+,0.600,FM,High,
119,146.8800,MARSNG,K7ZZL,TONE,100.0,,-,0.600,FM,High,
120,146.9000,MCCALL,CIAR2B / KC7MCC,TONE,123.0,,-,0.600,FM,High,
121,,,,,,,,,,,
122,147.2200,JTBOAT,Jetboat ALT frequency,TONE,77.0,,+,0.600,FM,High,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,147.2200,NYSSA,W7PAG,TONE,103.5,,+,0.600,FM,High,
131,147.1000,ONTRIO,K7OJI,TONE,100.0,,+,0.600,FM,High,
132,147.1200,LIME,K7OJI,TONE,100.0,,+,0.600,FM,High,
133,146.7200,VALE,W7PAG,TONE,103.5,,-,0.600,FM,High,
134,145.2700,BAKER,W7NYW,TONE,110.9,,-,0.600,FM,High,
135,147.3000,BURNSE,W7JVO,TONE,162.2,,+,0.600,FM,High,
136,146.7600,BURNSW,KF7HPT,TONE,103.5,,-,0.600,FM,High,
137,145.1700,LIMEHL,W7NYW,TONE,110.9,,-,0.600,FM,High,
